Barycentric data loading time: 592.413316ms
Removing database directory samurai.db
Database directory samurai.db removed
Feeding update tasks to 16 workers
Block: 18908895 phase:modifiedaccounts accounts: 385 time: 3.241304274s
Fetching balances for 385 accounts
Fetched balances for 385 accounts
Block: 18908895 phase:balances accounts: 385 time: 24.23991ms
Block 18908895 account 0x1AAa3D9f104117f06eD815cEcc9ef0C6a831c67F time: 66.48875ms
Block 18908895 account 0x2358b99902F656168816058D08A54d16dD0603BC time: 67.952075ms
Block 18908895 account 0x2Cf6eE40d2A93B70DbF0963ecCC98fAc972ada8D time: 60.626507ms
Block 18908895 account 0x27378FdadD9b175272aeAbB289E0f3334139F9e5 time: 67.274963ms
Block 18908895 account 0x29984d1F9055cafB02dcDd53C54B727902E44975 time: 61.596434ms
Block 18908895 account 0x2A182E532a379Cb2c7f1B34Ce3f76f3F7D3596f7 time: 61.642836ms
Block 18908895 account 0x25D07BF8C67d939997c1C9726b0471dDd0058436 time: 68.303334ms
Block 18908895 account 0x26DB067DFC80576c909Cc0f531c717Fd7dCFBD47 time: 67.842978ms
Block 18908895 account 0x29469395eAf6f95920E59F858042f0e28D98a20B time: 66.837301ms
Block 18908895 account 0x2957018ABE642c82B2aD04F8926207cc6bb9F4d9 time: 67.034162ms
Block 18908895 account 0x2d4ea4856063a5c3ec2e3E2a0E4249F09F8fd890 time: 59.418128ms
Block 18908895 account 0x2D4450BE1Bd82A76d8375a84b45EDA540fB575ed time: 62.386615ms
Block 18908895 account 0x2D710591ca6Aa2E252B099E8111fe7406E404D07 time: 59.375038ms
Block 18908895 account 0x2b4cac773034850439ddA9Af3e788BE2DA3E55f1 time: 63.671685ms
Block 18908895 account 0x28C6c06298d514Db089934071355E5743bf21d60 time: 68.994829ms
Block 18908895 account 0x28c68E4999D223bFAA13765917C1891f2E710d20 time: 69.170815ms
Block 18908895 account 0x23894DC9da6c94ECb439911cAF7d337746575A72 time: 73.500189ms
Block 18908895 account 0x32400084C286CF3E17e7B677ea9583e60a000324 time: 52.481751ms
Block 18908895 account 0x2d886570A0dA04885bfD6eb48eD8b8ff01A0eb7e time: 52.994221ms
Block 18908895 account 0x32353A6C91143bfd6C7d363B546e62a9A2489A20 time: 52.661418ms
Block 18908895 account 0x340cc3cdec765278ef1523B5E755f98a04deFFce time: 52.414224ms
Block 18908895 account 0x33349B282065b0284d756F0577FB39c158F935e6 time: 52.611246ms
Block 18908895 account 0x385B6a585BeF02dabB0D01321097Ef056A15e14E time: 47.582087ms
Block 18908895 account 0x31c8EAcBFFdD875c74b94b077895Bd78CF1E64A3 time: 52.773463ms
Block 18908895 account 0x339d413CCEfD986b1B3647A9cfa9CBbE70A30749 time: 52.766215ms
Block 18908895 account 0x34A1cBcD9Fa54Ef1DaEe4aE90f9699Ac53819543 time: 51.177356ms
Block 18908895 account 0x34460b2B18921a7f6287905D7aA5984DdcBbb1ED time: 52.290377ms
Block 18908895 account 0x3506424F91fD33084466F402d5D97f05F8e3b4AF time: 51.146421ms
Block 18908895 account 0x347680A845c41d082122B0b68D68F224f2Bdb02d time: 52.24868ms
Block 18908895 account 0x343C19897186a6F114c1De5637e776B33fCB60dF time: 53.156039ms
Block 18908895 account 0x3845badAde8e6dFF049820680d1F14bD3903a5d0 time: 50.903704ms
Block 18908895 account 0x36B0A215f6734dc656105a7b0E075506e33d3b4a time: 51.185612ms
Block 18908895 account 0x3527439923a63F8C13CF72b8Fe80a77f6e572092 time: 52.180228ms
Block 18908895 account 0x3B604747ad1720C01ded0455728b62c0d2F100F0 time: 58.409176ms
Block 18908895 account 0x3bc8DFfb0F08F484723Cc3b8024DA9687771adA8 time: 58.556697ms
Block 18908895 account 0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD time: 58.979226ms
Block 18908895 account 0x3a8640465f74D50b6e8FAD934021Bf1c57089A11 time: 59.949357ms
Block 18908895 account 0x3Ff7d841cbF35F1a6981026616c22588E188ecAa time: 59.782992ms
Block 18908895 account 0x3FEB4fEA5132695542F8Ede5076Ac43296d17c6d time: 60.16132ms
Block 18908895 account 0x3F1c0EA76342Cc3427962452891F8DE8649a301B time: 60.665252ms
Block 18908895 account 0x3beEab9d5624e487045e01d12332975204a04a8A time: 61.435299ms
Block 18908895 account 0x3fEA672ec176c705ac8F57036320df71Fe002632 time: 60.429212ms
Block 18908895 account 0x412dbfAe09511d2bDFc4cE3835610A768EE64b23 time: 60.399932ms
Block 18908895 account 0x40af37C2551501195d5dd6Cf216a3F7096d75C1b time: 60.563716ms
Block 18908895 account 0x3c7b791CC5a1F61A82eF57EbbFd20a25661D5432 time: 61.430333ms
Block 18908895 account 0x406C22b8740ae955b04fD11c2061E053807E2A69 time: 60.121249ms
Block 18908895 account 0x3cD751E6b0078Be393132286c442345e5DC49699 time: 62.133026ms
Block 18908895 account 0x40a3Ea80700876bDd9ccd8C5979BA988Ccedee0D time: 62.039637ms
Block 18908895 account 0x41A4754c85a73cce186085F6Fdc8988E8a3766aa time: 66.725312ms
Block 18908895 account 0x42476F744292107e34519F9c357927074Ea3F75D time: 59.741334ms
Block 18908895 account 0x41e5560054824eA6B0732E656E3Ad64E20e94E45 time: 61.024613ms
Block 18908895 account 0x468b13E237828e70392C00c1D747EFAb5B7E72Ec time: 58.423121ms
Block 18908895 account 0x42a80b348a4fCB379a123DBb1376ffF385398AA7 time: 60.212384ms
Block 18908895 account 0x4697f864E0dC518D442F0872d2113A4a529B2c7E time: 58.511033ms
Block 18908895 account 0x430EF9263E76DAE63c84292C3409D61c598E9682 time: 58.995341ms
Block 18908895 account 0x4591DBfF62656E7859Afe5e45f6f47D3669fBB28 time: 58.941832ms
Block 18908895 account 0x41fbBa5CB38D22B2D80606406944cEdd7c97f6F9 time: 62.3097ms
Block 18908895 account 0x4b1219ca927cDA6eE38C04eCd4332570b15E38F8 time: 58.596084ms
Block 18908895 account 0x4CC19356f2D37338b9802aa8E8fc58B0373296E7 time: 58.823862ms
Block 18908895 account 0x4a220E6096B25EADb88358cb44068A3248254675 time: 60.445737ms
Block 18908895 account 0x4aAC82fa8727C658A992A06F3619b2f85089139b time: 59.929772ms
Block 18908895 account 0x4A30E32985098D87A84644ba0cabB28fBca6B045 time: 61.702047ms
Block 18908895 account 0x4727b810779e78119a623285308cb5e06f95bc9f time: 62.856025ms
Block 18908895 account 0x4d224452801ACEd8B2F0aebE155379bb5D594381 time: 56.320258ms
Block 18908895 account 0x497D55D85955b153C74f6C6740b29DfFC0286747 time: 64.343727ms
Block 18908895 account 0x4E15361FD6b4BB609Fa63C81A2be19d873717870 time: 69.342481ms
Block 18908895 account 0x503828976D22510aad0201ac7EC88293211D23Da time: 68.69688ms
Block 18908895 account 0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9 time: 68.735115ms
Block 18908895 account 0x514910771AF9Ca656af840dff83E8264EcF986CA time: 68.743861ms
Block 18908895 account 0x52E66cA968010d064938A8099a172CBAaf08c125 time: 68.59109ms
Block 18908895 account 0x5954aB967Bc958940b7EB73ee84797Dc8a2AFbb9 time: 67.35561ms
Block 18908895 account 0x4eEBb6030367E27c60863e809cB9995bcE4EcFB5 time: 69.537074ms
Block 18908895 account 0x5283D291DBCF85356A21bA090E6db59121208b44 time: 68.96343ms
Block 18908895 account 0x59c05Ef9F29A0A5DeB61623Dce7Acd7e59953aD1 time: 66.905962ms
Block 18908895 account 0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32 time: 65.760765ms
Block 18908895 account 0x59bbBeccB8E7f926e771df4948E8F43BDa517FCc time: 67.544844ms
Block 18908895 account 0x5Bb306566465256b6fF48a8c347Ce9653D0B9F7e time: 65.004884ms
Block 18908895 account 0x53A19B32ce6073cf357Cf14f8047618535307F05 time: 68.758021ms
Block 18908895 account 0x5Ca381bBfb58f0092df149bD3D243b08B9a8386e time: 64.672441ms
Block 18908895 account 0x5AdfE61ED32956820CEe996023467cfcFb932E06 time: 69.019742ms
Block 18908895 account 0x5D0a0450ee367C90cBc1B5a16ff7D095f7F11f56 time: 67.725514ms
Block 18908895 account 0x61b7b515C1EC603cf21463BCAC992B60Fd610CA9 time: 63.738576ms
Block 18908895 account 0x5FDCCA53617f4d2b9134B29090C87D01058e27e9 time: 64.130964ms
Block 18908895 account 0x6133de401FB609aACB767D8b379157731a09b66b time: 64.163413ms
Block 18908895 account 0x5EfAc836a7A29ef653A9E957CB5605BB868720c6 time: 65.288363ms
Block 18908895 account 0x64Bc2cA1Be492bE7185FAA2c8835d9b824c8a194 time: 64.620135ms
Block 18908895 account 0x5F6AE08B8AeB7078cf2F96AFb089D7c9f51DA47d time: 65.718165ms
Block 18908895 account 0x64323d606CfCB1b50998636A182334Ad97637987 time: 64.742608ms
Block 18908895 account 0x62B014B27a1f6054Ea1800Fc40EBcFF6912d6D3A time: 64.858262ms
Block 18908895 account 0x5E4f194F4ee87D02757810F3b7970FaE76b23429 time: 65.814113ms
Block 18908895 account 0x662da55EE3D6b05DA1564088681DB8E2BDb7Dd48 time: 64.679939ms
Block 18908895 account 0x639906cC021909ab4e05fa5BfeD8e6B547C473fE time: 66.321412ms
Block 18908895 account 0x6774Bcbd5ceCeF1336b5300fb5186a12DDD8b367 time: 63.062275ms
Block 18908895 account 0x613A4DeF4209d15FE3e30EC32d5aF4B895385392 time: 65.36091ms
Block 18908895 account 0x5f1C55422CaEd542DB0510e8a9b0F8c0297508F9 time: 65.544657ms
Block 18908895 account 0x6767526a362EC6c6b1DF185478e4F01506B73Ff3 time: 63.178746ms
Block 18908895 account 0x6952B0fF1797E2419E13118BB69EaE62920558B8 time: 62.299832ms
Block 18908895 account 0x6982508145454Ce325dDbE47a25d4ec3d2311933 time: 59.3223ms
Block 18908895 account 0x69Ec2f3D47D3dA41A85C1a2d99A5415C56160EDE time: 59.330896ms
Block 18908895 account 0x6A999578A58BdCfd2a7b3b8fbb866114C0C011eC time: 58.620224ms
Block 18908895 account 0x6B175474E89094C44Da98b954EedeAC495271d0F time: 59.15613ms
Block 18908895 account 0x69Bba4AA6E43A6Ef5828c33AEfECd1f17E1f5e1F time: 60.643131ms
Block 18908895 account 0x7420B4b9a0110cdC71fB720908340C03F9Bc03EC time: 58.02453ms
Block 18908895 account 0x77696bb39917C91A0c3908D577d5e322095425cA time: 57.583561ms
Block 18908895 account 0x7363cE3F1c9deDE48F169962851292e8F790974e time: 58.367657ms
Block 18908895 account 0x7776607E2E0bD61052e60d59F1fDd11dFbeC27e8 time: 57.894506ms
Block 18908895 account 0x6E2a43be0B1d33b726f0CA3b8de60b3482b8b050 time: 58.623241ms
Block 18908895 account 0x780F6788Da1F70110b9d7DD96D78e8C2efAe1111 time: 57.99507ms
Block 18908895 account 0x77ab7D3D34b80F033f494F95683264690FDCd5B9 time: 58.054079ms
Block 18908895 account 0x6c6EE5e31d828De241282B9606C8e98Ea48526E2 time: 59.312943ms
Block 18908895 account 0x744d70FDBE2Ba4CF95131626614a1763DF805B9E time: 58.624208ms
Block 18908895 account 0x7723a0Fe7cBEAbAF87d5e6948B93CA43FF61fACA time: 59.352305ms
Block 18908895 account 0x703f7717C879139baf2dB59AEA262f70B3a2Fd27 time: 63.274266ms
Block 18908895 account 0x7830c87C02e56AFf27FA8Ab1241711331FA86F43 time: 56.55409ms
Block 18908895 account 0x787B8840100d9BaAdD7463f4a73b5BA73B00C6cA time: 56.477733ms
Block 18908895 account 0x7951fC8c72219938e31A59a767737316c22D4731 time: 56.600708ms
Block 18908895 account 0x7edBaC991d3Ce8AB8CC8cCA3b72A28975549A853 time: 55.892463ms
Block 18908895 account 0x7c195D981AbFdC3DDecd2ca0Fed0958430488e34 time: 56.251809ms
Block 18908895 account 0x80122c6a83C8202Ea365233363d3f4837D13e888 time: 55.701755ms
Block 18908895 account 0x7A58c0Be72BE218B41C608b7Fe7C5bB630736C71 time: 57.093679ms
Block 18908895 account 0x7F2b8C31F88B6006c382775eea88297Ec1e3E905 time: 56.28735ms
Block 18908895 account 0x7adD0A3efb06f1f10F96e29e63373fa38B7BC24C time: 57.30954ms
Block 18908895 account 0x7b08E03a5490b8afC8EFeDFFE46d75B5E96c46AF time: 58.400492ms
Block 18908895 account 0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0 time: 58.172954ms
Block 18908895 account 0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D time: 59.204593ms
Block 18908895 account 0x817bbDbC3e8A1204f3691d14bB44992841e3dB35 time: 57.238028ms
Block 18908895 account 0x7C0D181E0F32f4A40189be4E62eA774fE4CD96d4 time: 58.646837ms
Block 18908895 account 0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9 time: 58.109994ms
Block 18908895 account 0x841A63D6B17927de583404BcDC5281B99A0b801D time: 76.801335ms
Block 18908895 account 0x8625A13667775a34adbDdAcAE77b02d971d84619 time: 61.402278ms
Block 18908895 account 0x86374B476996758658941A79a17AB903FA058bC8 time: 62.644242ms
Block 18908895 account 0x8B2492D19DeF202bAFD4699165670b615519878a time: 58.751868ms
Block 18908895 account 0x86aCF861290B94A613Cc1E00D08D4BE35C9dF1DA time: 61.444282ms
Block 18908895 account 0x888cA7Bd762075042BA4202fA59dCC73eD8Ae50B time: 60.868558ms
Block 18908895 account 0x86Ef3E6a081f7698Df2B73e9bf5a62c2fa20aF87 time: 61.410752ms
Block 18908895 account 0x85a529b294888a9Cdc8f57DB853a11BC34164D58 time: 63.185225ms
Block 18908895 account 0x8731d54E9D02c286767d56ac03e8037C07e01e98 time: 61.817383ms
Block 18908895 account 0x89d88922B8E4d1315abE3Ec136C1bd9ad3425368 time: 60.259174ms
Block 18908895 account 0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0 time: 60.855339ms
Block 18908895 account 0x8a6Af67676694AA48ACFe4798E23A80feEE05Bcb time: 60.304838ms
Block 18908895 account 0x86EF7C2571629aaa0FfdE730D7bc5019eFA4B800 time: 62.359752ms
Block 18908895 account 0x8a834B6Fe144C860B1f6dbc60cfa3278BcA5B434 time: 60.259263ms
Block 18908895 account 0x8B1916e28BEeE90CF7911A50b006CaED2EbF8D9A time: 61.245444ms
Block 18908895 account 0x86a067030a9668c13FF2A8C4d5415aFc776d4c63 time: 64.298941ms
Block 18908895 account 0x8b550F5166AAdB89C9Fe67810A20644D99f291bE time: 54.386299ms
Block 18908895 account 0x8c0d9B279c32c05A3BB4Ddd3AF7470699Ea50FB5 time: 50.718188ms
Block 18908895 account 0x9269c1d25795Fb1B3eb0fBCA904e0f7F125a3294 time: 50.47808ms
Block 18908895 account 0x8cedCab122e35B3F3e32Bb680c8F9d4994ad1484 time: 51.896904ms
Block 18908895 account 0x8e9511b2Bfb85B008F4c2C51BBc4Cce210036eA0 time: 52.005757ms
Block 18908895 account 0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE time: 54.688161ms
Block 18908895 account 0x95995D45e2F21FCbb3857C4705e04BBD0248cFCE time: 55.317586ms
Block 18908895 account 0x92f708cF04A083Df54f77124abb8ec22692e3bb5 time: 55.931058ms
Block 18908895 account 0x956DcC9bF194C17A3D8F56a48313C5881285FaC8 time: 56.08045ms
Block 18908895 account 0x8FA3b4570B4C96f8036C13b64971BA65867eEB48 time: 57.213857ms
Block 18908895 account 0x92D6C1e31e14520e676a687F0a93788B716BEff5 time: 56.823429ms
Block 18908895 account 0x90E18a6920985DBACc3d76Cf27a3F2131923C720 time: 57.585555ms
Block 18908895 account 0x9319300001a2ff99A878dd8325c5e6A1F293c34A time: 56.603053ms
Block 18908895 account 0x95e63F78Bd2Fd5ea8a0D58182f3d998558881FDA time: 55.310219ms
Block 18908895 account 0x8F8c8D9a66aEf6A7600896D41D83a6a51443955a time: 57.676446ms
Block 18908895 account 0x96E8B85699D8B51d6E14Fb52D239367A20e9Ecc2 time: 59.55872ms
