Barycentric data loading time: 582.995152ms
2025/10/03 22:37:36 [JOB 1] WAL file samurai.db/280372.log with log number 280372 stopped reading at offset: 1359293; replayed 42 keys in 42 batches
Feeding update tasks to 16 workers
Block: 18910990 phase:balances accounts: 298 time: 105.044172ms
Block: 18910991 phase:modifiedaccounts accounts: 196 time: 4.646611109s
Block: 18910991 phase:balances accounts: 196 time: 84.006299ms
Block: 18910992 phase:modifiedaccounts accounts: 297 time: 3.944171944s
Block: 18910992 phase:balances accounts: 297 time: 186.190128ms
Block: 18910993 phase:modifiedaccounts accounts: 305 time: 4.882237226s
Block: 18910993 phase:balances accounts: 305 time: 151.002236ms
Block: 18910994 phase:modifiedaccounts accounts: 250 time: 4.226791286s
Block: 18910994 phase:balances accounts: 250 time: 158.830301ms
Block: 18910995 phase:modifiedaccounts accounts: 284 time: 3.721327202s
Block: 18910995 phase:balances accounts: 284 time: 82.399272ms
Block: 18910996 phase:modifiedaccounts accounts: 247 time: 4.21003616s
Block: 18910996 phase:balances accounts: 247 time: 89.004909ms
Block: 18910997 phase:modifiedaccounts accounts: 309 time: 5.258494705s
Block: 18910997 phase:balances accounts: 309 time: 206.959749ms
Block: 18910998 phase:modifiedaccounts accounts: 349 time: 4.150289708s
Block: 18910998 phase:balances accounts: 349 time: 171.2205ms
Block: 18910999 phase:modifiedaccounts accounts: 307 time: 4.014648429s
Block: 18910999 phase:balances accounts: 307 time: 207.351894ms
Block: 18911000 phase:modifiedaccounts accounts: 323 time: 5.323295276s
Block: 18911000 phase:balances accounts: 323 time: 127.363205ms
Block: 18911001 phase:modifiedaccounts accounts: 294 time: 4.746354158s
Block: 18911001 phase:balances accounts: 294 time: 126.84871ms
Block: 18911002 phase:modifiedaccounts accounts: 306 time: 4.860547871s
Block: 18911002 phase:balances accounts: 306 time: 132.371026ms
Block: 18911003 phase:modifiedaccounts accounts: 336 time: 5.859425528s
Block: 18911003 phase:balances accounts: 336 time: 95.827336ms
Block: 18911004 phase:modifiedaccounts accounts: 229 time: 3.737296024s
Block: 18911004 phase:balances accounts: 229 time: 117.988843ms
Block: 18911005 phase:modifiedaccounts accounts: 721 time: 7.179899858s
Block: 18911005 phase:balances accounts: 721 time: 295.022111ms
Block: 18911006 phase:modifiedaccounts accounts: 273 time: 4.437251801s
Block: 18911006 phase:balances accounts: 273 time: 172.716275ms
Block: 18911007 phase:modifiedaccounts accounts: 259 time: 4.865183826s
Block: 18911007 phase:balances accounts: 259 time: 88.610504ms
Block: 18911008 phase:modifiedaccounts accounts: 354 time: 4.930551169s
Block: 18911008 phase:balances accounts: 354 time: 113.86299ms
Block: 18911009 phase:modifiedaccounts accounts: 315 time: 5.285717284s
Block: 18911009 phase:balances accounts: 315 time: 203.58186ms
Block: 18911010 phase:modifiedaccounts accounts: 291 time: 5.639170635s
Block: 18911010 phase:balances accounts: 291 time: 123.131852ms
Block: 18911011 phase:modifiedaccounts accounts: 300 time: 4.207057618s
Block: 18911011 phase:balances accounts: 300 time: 119.582521ms
Block: 18911012 phase:modifiedaccounts accounts: 207 time: 5.268758524s
Block: 18911012 phase:balances accounts: 207 time: 118.348379ms
Block: 18911013 phase:modifiedaccounts accounts: 418 time: 4.836334233s
Block: 18911013 phase:balances accounts: 418 time: 139.560454ms
Block: 18911014 phase:modifiedaccounts accounts: 316 time: 4.083420481s
Block: 18911014 phase:balances accounts: 316 time: 163.482725ms
Block: 18911015 phase:modifiedaccounts accounts: 281 time: 5.623725332s
Block: 18911015 phase:balances accounts: 281 time: 125.881041ms
Block: 18911016 phase:modifiedaccounts accounts: 309 time: 5.453064944s
Block: 18911016 phase:balances accounts: 309 time: 190.87814ms
Block: 18911017 phase:modifiedaccounts accounts: 228 time: 5.219664675s
Block: 18911017 phase:balances accounts: 228 time: 149.097077ms
Block: 18911018 phase:modifiedaccounts accounts: 651 time: 5.487731805s
Block: 18911018 phase:balances accounts: 651 time: 708.078206ms
Block: 18911019 phase:modifiedaccounts accounts: 421 time: 5.791657152s
Block: 18911019 phase:balances accounts: 421 time: 237.516558ms
Block: 18911020 phase:modifiedaccounts accounts: 273 time: 4.255211864s
Block: 18911020 phase:balances accounts: 273 time: 113.790459ms
