id	count	probability
1	14350372	0.298352812911
2	14854456	0.308833020625
3	5018351	0.104334517393
4	3345826	0.069561722763
5	1743806	0.036254769233
6	1426849	0.029665043718
7	882419	0.018346018543
8	775940	0.016132256477
9	562477	0.011694233094
10	494823	0.010287665988
11	381963	0.007941239118
12	352739	0.007333654687
13	277327	0.005765794123
14	256021	0.005322829646
15	211494	0.004397086697
16	194243	0.004038428094
17	164322	0.003416352616
18	156265	0.003248842769
19	131618	0.002736416905
20	124684	0.002592254899
21	110177	0.002290645697
22	102800	0.002137273457
23	90356	0.001878555257
24	88112	0.001831901156
25	77500	0.001611271332
26	74396	0.001546737316
27	67489	0.001403136657
28	64130	0.001333301039
29	57951	0.001204835935
30	56844	0.001181820743
31	50861	0.001057430596
32	48993	0.001018593759
33	45252	0.000940816133
34	44291	0.000920836368
35	40860	0.000849503827
36	40113	0.000833973251
37	36592	0.000760769556
38	35555	0.000739209706
39	33287	0.000692056630
40	32391	0.000673428254
41	30103	0.000625859366
42	29699	0.000617459965
43	27423	0.000570140564
44	26710	0.000555316868
45	25434	0.000528788065
46	24204	0.000503215630
47	22997	0.000478121378
48	22461	0.000466977618
49	21112	0.000438931101
50	20428	0.000424710332
51	19578	0.000407038324
52	19434	0.000404044478
53	18421	0.000382983603
54	18128	0.000376891957
55	16989	0.000353211466
56	16647	0.000346101082
57	15752	0.000327493497
58	15523	0.000322732450
59	14435	0.000300112280
60	14444	0.000300299395
61	13848	0.000287908199
62	13314	0.000276806019
63	12942	0.000269071917
64	12546	0.000260838840
65	11952	0.000248489225
66	11818	0.000245703285
67	11214	0.000233145764
68	11141	0.000231628050
69	10685	0.000222147538
70	10360	0.000215390593
71	9815	0.000204059718
72	10135	0.000210712709
73	9371	0.000194828692
74	9689	0.000201440102
75	9037	0.000187884633
76	8788	0.000182707774
77	8536	0.000177468543
78	8414	0.000174932090
79	7930	0.000164869441
80	8055	0.000167468265
81	7484	0.000155596834
82	7516	0.000156262133
83	7318	0.000152145595
84	7141	0.000148465659
85	7002	0.000145575766
86	6861	0.000142644292
87	6684	0.000138964356
88	6628	0.000137800082
89	6153	0.000127924548
90	6195	0.000128797754
91	6076	0.000126323672
92	5947	0.000123641685
93	5737	0.000119275660
94	5818	0.000120959698
95	5536	0.000115096750
96	5496	0.000114265126
97	5302	0.000110231750
98	5216	0.000108443758
99	5015	0.000104264848
100	5131	0.000106676557
101	4906	0.000101998673
102	5037	0.000104722241
103	4703	0.000097778182
104	4652	0.000096717861
105	4435	0.000092206301
106	4483	0.000093204250
107	4458	0.000092684485
108	4212	0.000087569998
109	4052	0.000084243502
110	4181	0.000086925490
111	3994	0.000083037648
112	3978	0.000082704998
113	3986	0.000082871323
114	3827	0.000079565618
115	3652	0.000075927263
116	3521	0.000073203695
117	3597	0.000074783780
118	3579	0.000074409550
119	3506	0.000072891836
120	3389	0.000070459336
121	3257	0.000067714977
122	3393	0.000070542498
123	3177	0.000066051729
124	3179	0.000066093310
125	3080	0.000064035041
126	3220	0.000066945725
127	2999	0.000062351003
128	3005	0.000062475746
129	2901	0.000060313524
130	2886	0.000060001665
131	2846	0.000059170041
132	2810	0.000058421580
133	2836	0.000058962135
134	2626	0.000054596110
135	2578	0.000053598161
136	2685	0.000055822755
137	2610	0.000054263460
138	2577	0.000053577371
139	2435	0.000050625106
140	2504	0.000052059657
141	2457	0.000051082499
142	2395	0.000049793482
143	2318	0.000048192606
144	2306	0.000047943119
145	2355	0.000048961858
146	2226	0.000046279871
147	2259	0.000046965960
148	2136	0.000044408717
149	2087	0.000043389978
150	2218	0.000046113546
151	2107	0.000043805790
152	2054	0.000042703888
153	1964	0.000040832734
154	2045	0.000042516773
155	1971	0.000040978268
156	2011	0.000041809892
157	1937	0.000040271388
158	1911	0.000039730832
159	1891	0.000039315020
160	1963	0.000040811944
161	1822	0.000037880469
162	1771	0.000036820149
163	1805	0.000037527029
164	1734	0.000036050897
165	1879	0.000039065533
166	1740	0.000036175640
167	1632	0.000033930256
168	1713	0.000035614294
169	1616	0.000033597606
170	1646	0.000034221324
171	1587	0.000032994679
172	1592	0.000033098632
173	1592	0.000033098632
174	1574	0.000032724401
175	1532	0.000031851196
176	1542	0.000032059102
177	1517	0.000031539337
178	1513	0.000031456175
179	1438	0.000029896880
180	1481	0.000030790875
181	1453	0.000030208739
182	1472	0.000030603760
183	1392	0.000028940512
184	1422	0.000029564230
185	1413	0.000029377115
186	1356	0.000028192051
187	1377	0.000028628653
188	1236	0.000025697179
189	1249	0.000025967457
190	1273	0.000026466431
191	1320	0.000027443589
192	1221	0.000025385320
193	1288	0.000026778290
194	1213	0.000025218995
195	1156	0.000024033931
196	1271	0.000026424850
197	1177	0.000024470534
198	1147	0.000023846816
199	1204	0.000025031880
200	1203	0.000025011089
201	1103	0.000022932029
202	1115	0.000023181517
203	1109	0.000023056773
204	1110	0.000023077564
205	1096	0.000022786495
206	1081	0.000022474636
207	1058	0.000021996453
208	1092	0.000022703333
209	1144	0.000023784444
210	1075	0.000022349893
211	992	0.000020624273
212	1027	0.000021351944
213	954	0.000019834230
214	996	0.000020707435
215	982	0.000020416367
216	1034	0.000021497478
217	955	0.000019855021
218	990	0.000020582692
219	969	0.000020146089
220	949	0.000019730277
221	889	0.000018482841
222	996	0.000020707435
223	840	0.000017464102
224	841	0.000017484893
225	886	0.000018420470
226	825	0.000017152243
227	847	0.000017609636
228	857	0.000017817542
229	809	0.000016819594
230	879	0.000018274935
231	841	0.000017484893
232	863	0.000017942286
233	825	0.000017152243
234	801	0.000016653269
235	790	0.000016424572
236	827	0.000017193824
237	771	0.000016029551
238	765	0.000015904807
239	796	0.000016549316
240	760	0.000015800854
241	780	0.000016216666
242	769	0.000015987970
243	733	0.000015239508
244	781	0.000016237457
245	765	0.000015904807
246	769	0.000015987970
247	737	0.000015322671
248	714	0.000014844487
249	708	0.000014719743
250	690	0.000014345513
251	665	0.000013825748
252	703	0.000014615790
253	664	0.000013804957
254	633	0.000013160448
255	690	0.000014345513
256	640	0.000013305983
257	682	0.000014179188
258	675	0.000014033654
259	643	0.000013368354
260	656	0.000013638632
261	676	0.000014054444
262	668	0.000013888119
263	630	0.000013098077
264	581	0.000012079337
265	641	0.000013326773
266	624	0.000012973333
267	604	0.000012557521
268	588	0.000012224872
269	635	0.000013202030
270	615	0.000012786218
271	592	0.000012308034
272	605	0.000012578312
